PRICE_PER_NIGHT,TAX_AMOUNT,ACCOM_NAME_EN,ACCOM_TYPE_CODE,BOOKING_PROVIDER_NAME_EN,ROOM_TYPE_CODE,CITY_NAME_EN,REVIEW_SCORE_NAME_EN,STAR_RATING_CODE
5.8,4.35,Al Kiram Hotel,Hotel,AGODA.COM,Twin Room,Mecca,Good,3
6.6,4.95,Elaf Bakkah Hotel,Hotel,PRICELINE,Twin Room,Mecca,Very Good,4
6.6,4.95,Elaf Bakkah Hotel,Hotel,ELAF KINDA HOTEL,Standard Room,Mecca,Very Good,4
7.2,5.4,Roots Hotel,Hotel,SUPER.COM,Superior Room,Mecca,Very Good,3
7.6,5.7,M Hotel Al Dana Makkah by Millennium,Hotel,SUPER.COM,Standard Room,Mecca,Very Good,4
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,AGODA.COM,Twin Room,Mecca,Very Good,3
8,6,Batoul Ajyad Hotel,Hotel,PRICELINE,Twin Room,Mecca,Good,4
8,6,Time Ruba Hotel & Suites,Hotel,PRICELINE,Deluxe Room,Mecca,Very Good,4
8,6,Wirgan Hotel Al Nour,Hotel,AGODA.COM,Superior Room,Mecca,Very Good,4
8,6,Wirgan Hotel Al Nour,Hotel,HOTELS.COM,Superior Room,Mecca,Very Good,4
8.2,6.15,Diyaralmashaer Al-Hadiyah Hotel,Hotel,BOOKING.COM,Economy Room,Mecca,Very Good,1
7,5.25,Elaf Bakkah Hotel,Hotel,STAYFORLONG,Twin Room,Mecca,Very Good,4
7.2,5.4,Time Ruba Hotel & Suites,Hotel,PRICELINE,Deluxe Room,Mecca,Very Good,4
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,BOOKING.COM,King Bed Room,Mecca,Very Good,3
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,BOOKING.COM,Triple Room,Mecca,Very Good,3
7.8,5.85,Time Ruba Hotel & Suites,Hotel,PRICELINE,Deluxe Room,Mecca,Very Good,4
8,6,M Hotel Makkah By Millennium,Hotel,SUPER.COM,Standard Room,Mecca,Good,5
8,6,Wirgan Hotel Al Nour,Hotel,BOOKING.COM,Superior Room,Mecca,Very Good,4
8,6,Wirgan Hotel Al Nour,Hotel,EXPEDIA,Superior Room,Mecca,Very Good,4
8.6,6.45,Wirgan Hotel Al Nour,Hotel,ELAF KINDA HOTEL,Superior Room,Mecca,Very Good,4
8.6,6.45,Elaf Ajyad Hotel,Hotel,KAYAK,Twin Room,Mecca,Okay,2
6.8,5.1,Elaf Bakkah Hotel,Hotel,HOTELS.COM,Twin Room,Mecca,Very Good,4
7.4,5.55,Elaf Ajyad Hotel,Hotel,PRICELINE,Twin Room,Mecca,Okay,2
7.4,5.55,Elaf Ajyad Hotel,Hotel,SUPER.COM,Twin Room,Mecca,Okay,2
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,PRICELINE,King Bed Room,Mecca,Very Good,3
7.8,5.85,Al Kiram Hotel,Hotel,SUPER.COM,King Bed Room,Mecca,Good,3
7.8,5.85,Park Inn Makkah Al Naseem,Hotel,SUPER.COM,Standard Room,Mecca,Very Good,5
8.2,6.15,Time Ruba Hotel & Suites,Hotel,PRICELINE,Deluxe Room,Mecca,Very Good,4
9.2,6.9,Park Inn by Radisson Makkah Aziziyah,Hotel,SUPER.COM,Standard Room,Mecca,Very Good,5
9.2,6.9,M Hotel Al Dana Makkah by Millennium,Hotel,BOOKING.COM,Standard Room,Mecca,Very Good,4
9.4,7.05,Elaf Ajyad Hotel,Hotel,PRICELINE,Twin Room,Mecca,Okay,2
9.6,7.2,Elaf Ajyad Hotel,Hotel,BOOKING.COM,Twin Room,Mecca,Okay,2
5.8,4.35,Al Kiram Hotel,Hotel,BOOKING.COM,King Bed Room,Mecca,Good,3
5.8,4.35,Al Kiram Hotel,Hotel,KAYAK,Twin Room,Mecca,Good,3
6.4,4.8,Elaf Bakkah Hotel,Hotel,AGODA.COM,Other,Mecca,Very Good,4
6.6,4.95,Al Kiram Hotel,Hotel,AGODA.COM,Triple Room,Mecca,Good,3
6.6,4.95,Al Kiram Hotel,Hotel,KAYAK,Triple Room,Mecca,Good,3
6.8,5.1,Elaf Bakkah Hotel,Hotel,KAYAK,Twin Room,Mecca,Very Good,4
7.2,5.4,Elaf Bakkah Hotel,Hotel,SUPER.COM,Twin Room,Mecca,Very Good,4
7.2,5.4,Al Kiram Hotel,Hotel,HOTELS.COM,Quadruple Room,Mecca,Good,3
7.6,5.7,Roots Hotel,Hotel,HOTELS.COM,Superior Room,Mecca,Very Good,3
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,PRICELINE,Triple Room,Mecca,Very Good,3
8,6,Elaf Bakkah Hotel,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
8.2,6.15,Diyaralmashaer Al-Hadiyah Hotel,Hotel,KAYAK,Economy Room,Mecca,Very Good,1
9,6.75,Diyaralmashaer Al-Hadiyah Hotel,Hotel,PRICELINE,Triple Room,Mecca,Very Good,1
9.2,6.9,Time Ruba Hotel & Suites,Hotel,AGODA.COM,Deluxe Room,Mecca,Very Good,4
9.6,7.2,Elaf Ajyad Hotel,Hotel,KAYAK,Twin Room,Mecca,Okay,2
9.8,7.35,Park Inn Makkah Al Naseem,Hotel,EXPEDIA,Standard Room,Mecca,Very Good,5
9.8,7.35,Elaf Bakkah Hotel,Hotel,ELAF KINDA HOTEL,Standard Room,Mecca,Very Good,4
10.2,7.65,Wassad Hotel,Hotel,HOTELS.COM,Standard Room,Mecca,Wonderful,4
10.2,7.65,M Hotel Makkah By Millennium,Hotel,PRICELINE,King Bed Room,Mecca,Good,5
10.2,7.65,M Hotel Makkah By Millennium,Hotel,BOOKING.COM,Standard Room,Mecca,Good,5
10.2,7.65,Novotel Makkah Thakher City,Hotel,PRICELINE,Superior Room,Mecca,Very Good,4
10.4,7.8,Park Inn by Radisson Makkah Thakher Algharbi,Hotel,BOOKING.COM,Standard Room,Mecca,Very Good,4
8.8,6.6,Time Ruba Hotel & Suites,Hotel,PRICELINE,Twin Room,Mecca,Very Good,4
8.8,6.6,Elaf Bakkah Hotel,Hotel,AGODA.COM,King Bed Room,Mecca,Very Good,4
9,6.75,M Hotel Al Dana Makkah by Millennium,Hotel,AGODA.COM,Standard Room,Mecca,Very Good,4
9.2,6.9,M Hotel Al Dana Makkah by Millennium,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
9.2,6.9,M Hotel Al Dana Makkah by Millennium,Hotel,EXPEDIA,Standard Room,Mecca,Very Good,4
9.2,6.9,Elaf Bakkah Hotel,Hotel,ELAF KINDA HOTEL,Standard Room,Mecca,Very Good,4
9.2,6.9,Wirgan Hotel Al Nour,Hotel,BOOKING.COM,Superior Room,Mecca,Very Good,4
9.4,7.05,Roots Hotel,Hotel,KAYAK,Superior Room,Mecca,Very Good,3
9.6,7.2,Wirgan Hotel Al Nour,Hotel,ELAF KINDA HOTEL,Superior Room,Mecca,Very Good,4
9.6,7.2,Elaf Ajyad Hotel,Hotel,PRICELINE,Twin Room,Mecca,Okay,2
9.8,7.35,Time Ruba Hotel & Suites,Hotel,BOOKING.COM,Deluxe Room,Mecca,Very Good,4
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,KAYAK,King Bed Room,Mecca,Very Good,4
9.8,7.35,Time Ruba Hotel & Suites,Hotel,AGODA.COM,Deluxe Room,Mecca,Very Good,4
9.8,7.35,Four Points by Sheraton Makkah Al Naseem,Hotel,PRICELINE,King Bed Room,Mecca,Very Good,4
10,7.5,Park Inn by Radisson Makkah Thakher Algharbi,Hotel,HOTELS.COM,Standard Room,Mecca,Very Good,4
10,7.5,Park Inn By Radisson Makkah Thakher East,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
10.2,7.65,Al tawfeeg hotel - Al Azizyah,Hotel,EXPEDIA,Standard Room,Mecca,Very Good,0
10.2,7.65,Snaf Inn Azizia Hotel,Hotel,AGODA.COM,Suite,Mecca,Very Good,3
10.2,7.65,M Hotel Al Dana Makkah by Millennium,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
10.2,7.65,Makarem Umm Al Qura Hotel,Hotel,HOTELS.COM,Superior Room,Mecca,Good,5
10.2,7.65,Elaf Ajyad Hotel,Hotel,AGODA.COM,Triple Room,Mecca,Okay,2
10.4,7.8,Barakat Burhan Hotel,Hotel,KAYAK,Twin Room,Mecca,Good,4
10.4,7.8,Park Inn by Radisson Makkah Thakher Algharbi,Hotel,KAYAK,Standard Room,Mecca,Very Good,4
5.6,4.2,Al Kiram Hotel,Hotel,AGODA.COM,King Bed Room,Mecca,Good,3
6.6,4.95,Elaf Bakkah Hotel,Hotel,ELAF KINDA HOTEL,Double Room,Mecca,Very Good,4
6.8,5.1,Elaf Bakkah Hotel,Hotel,EXPEDIA,Twin Room,Mecca,Very Good,4
7,5.25,Elaf Bakkah Hotel,Hotel,ELAF KINDA HOTEL,Standard Room,Mecca,Very Good,4
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,KAYAK,King Bed Room,Mecca,Very Good,3
7.6,5.7,Roots Hotel,Hotel,KAYAK,Superior Room,Mecca,Very Good,3
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,AGODA.COM,Triple Room,Mecca,Very Good,3
7.6,5.7,Snaf Inn Azizia Hotel,Hotel,BOOKING.COM,Twin Room,Mecca,Very Good,3
8,6,Wirgan Hotel Al Nour,Hotel,KAYAK,Superior Room,Mecca,Very Good,4
8.2,6.15,Elaf Ajyad Hotel,Hotel,AGODA.COM,Twin Room,Mecca,Okay,2
8.2,6.15,Elaf Bakkah Hotel,Hotel,PRICETRAVEL,Twin Room,Mecca,Very Good,4
8.2,6.15,Diyaralmashaer Al-Hadiyah Hotel,Hotel,BOOKING.COM,Twin Room,Mecca,Very Good,1
8,6,Time Ruba Hotel & Suites,Hotel,KAYAK,Deluxe Room,Mecca,Very Good,4
8.2,6.15,Diyaralmashaer Al-Hadiyah Hotel,Hotel,AGODA.COM,Economy Room,Mecca,Very Good,1
8.2,6.15,Diyaralmashaer Al-Hadiyah Hotel,Hotel,PRICELINE,Economy Room,Mecca,Very Good,1
8.2,6.15,Diyaralmashaer Al-Hadiyah Hotel,Hotel,AGODA.COM,Twin Room,Mecca,Very Good,1
8.6,6.45,Time Ruba Hotel & Suites,Hotel,KAYAK,Deluxe Room,Mecca,Very Good,4
8.8,6.6,Time Ruba Hotel & Suites,Hotel,PRICELINE,Deluxe Room,Mecca,Very Good,4
8.8,6.6,Diyaralmashaer Al-Hadiyah Hotel,Hotel,AGODA.COM,Triple Room,Mecca,Very Good,1
9,6.75,Elaf Bakkah Hotel,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
9.2,6.9,Elaf Bakkah Hotel,Hotel,ELAF KINDA HOTEL,King Bed Room,Mecca,Very Good,4
10,7.5,Time Ruba Hotel & Suites,Hotel,AGODA.COM,Deluxe Room,Mecca,Very Good,4
10,7.5,Park Inn By Radisson Makkah Thakher East,Hotel,AGODA.COM,Standard Room,Mecca,Very Good,4
10,7.5,Park Inn by Radisson Makkah Thakher Algharbi,Hotel,EXPEDIA,Standard Room,Mecca,Very Good,4
10,7.5,Wirgan Hotel Al Nour,Hotel,ELAF KINDA HOTEL,Superior Room,Mecca,Very Good,4
10.2,7.65,Elaf Ajyad Hotel,Hotel,AGODA.COM,Standard Room,Mecca,Okay,2
10.2,7.65,Wassad Hotel,Hotel,EXPEDIA,Standard Room,Mecca,Wonderful,4
10.2,7.65,M Hotel Makkah By Millennium,Hotel,EXPEDIA,Standard Room,Mecca,Good,5
10.2,7.65,Wirgan Hotel Al Azizyah,Hotel,SUPER.COM,Superior Room,Mecca,Very Good,4
10.4,7.8,Park Inn by Radisson Makkah Thakher Algharbi,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
10.4,7.8,Park Inn By Radisson Makkah Thakher East,Hotel,KAYAK,Standard Room,Mecca,Very Good,4
10.4,7.8,M Hotel Al Dana Makkah by Millennium,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
10.4,7.8,Wirgan Hotel Al Azizyah,Hotel,AGODA.COM,Superior Room,Mecca,Very Good,4
10.4,7.8,M Hotel Al Dana Makkah by Millennium,Hotel,HOTELS.COM,Standard Room,Mecca,Very Good,4
10.4,7.8,M Hotel Al Dana Makkah by Millennium,Hotel,KAYAK,Standard Room,Mecca,Very Good,4
10.4,7.8,Wirgan Hotel Al Azizyah,Hotel,BOOKING.COM,Superior Room,Mecca,Very Good,4
10.4,7.8,M Hotel Al Dana Makkah by Millennium,Hotel,HOTELS.COM,Superior Room,Mecca,Very Good,4
10.4,7.8,Novotel Makkah Thakher City,Hotel,EXPEDIA,Superior Room,Mecca,Very Good,4
10.4,7.8,Elaf Bakkah Hotel,Hotel,PRICETRAVEL,Triple Room,Mecca,Very Good,4
10.6,7.95,Time Ruba Hotel & Suites,Hotel,PRICELINE,Twin Room,Mecca,Very Good,4
10.6,7.95,Elaf Bakkah Hotel,Hotel,BOOKING.COM,King Bed Room,Mecca,Very Good,4
10.6,7.95,Elaf Bakkah Hotel,Hotel,KAYAK,King Bed Room,Mecca,Very Good,4
10.8,8.1,Three Points Musalli Makkah,Hotel,HOTELS.COM,Standard Room,Mecca,Very Good,3
11,8.25,Four Points by Sheraton Makkah Al Naseem,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
11.2,8.4,M Hotel Makkah By Millennium,Hotel,BOOKING.COM,Standard Room,Mecca,Good,5
8.6,6.45,Elaf Ajyad Hotel,Hotel,BOOKING.COM,Twin Room,Mecca,Okay,2
9.2,6.9,Time Ruba Hotel & Suites,Hotel,PRICELINE,Twin Room,Mecca,Very Good,4
9.2,6.9,M Hotel Al Dana Makkah by Millennium,Hotel,KAYAK,Standard Room,Mecca,Very Good,4
9.2,6.9,Wirgan Hotel Al Nour,Hotel,KAYAK,Superior Room,Mecca,Very Good,4
9.4,7.05,Roots Hotel,Hotel,BOOKING.COM,Superior Room,Mecca,Very Good,3
9.6,7.2,Diyaralmashaer Al-Hadiyah Hotel,Hotel,AGODA.COM,Quadruple Room,Mecca,Very Good,1
